agent_type,base_seed,default_horizon,dtw_action_dtw_mean_agg_mean,dtw_action_dtw_mean_agg_std,dtw_state_dtw_mean_agg_mean,dtw_state_dtw_mean_agg_std,early_termination_rate,env_id,eval_episodes,horizon,length_mean,length_std,min_dtw_action_dtw_min_agg_mean,min_dtw_action_dtw_min_agg_std,min_dtw_state_dtw_min_agg_mean,min_dtw_state_dtw_min_agg_std,model_path,non_success_dtw_action_dtw_mean_max,non_success_dtw_action_dtw_mean_mean,non_success_dtw_action_dtw_mean_min,non_success_dtw_action_dtw_mean_std,non_success_dtw_state_dtw_mean_max,non_success_dtw_state_dtw_mean_mean,non_success_dtw_state_dtw_mean_min,non_success_dtw_state_dtw_mean_std,non_success_exceed_default_count,non_success_exceed_default_pct,non_success_length_max,non_success_length_mean,non_success_length_min,non_success_length_std,non_success_min_dtw_action_dtw_min_max,non_success_min_dtw_action_dtw_min_mean,non_success_min_dtw_action_dtw_min_min,non_success_min_dtw_action_dtw_min_std,non_success_min_dtw_state_dtw_min_max,non_success_min_dtw_state_dtw_min_mean,non_success_min_dtw_state_dtw_min_min,non_success_min_dtw_state_dtw_min_std,non_success_wasserstein_action_w2_dist_max,non_success_wasserstein_action_w2_dist_mean,non_success_wasserstein_action_w2_dist_min,non_success_wasserstein_action_w2_dist_std,non_success_wasserstein_state_w2_dist_max,non_success_wasserstein_state_w2_dist_mean,non_success_wasserstein_state_w2_dist_min,non_success_wasserstein_state_w2_dist_std,normalized_score_mean,normalized_score_std,raw_reward_mean,raw_reward_std,success_dtw_action_dtw_mean_max,success_dtw_action_dtw_mean_mean,success_dtw_action_dtw_mean_min,success_dtw_action_dtw_mean_std,success_dtw_state_dtw_mean_max,success_dtw_state_dtw_mean_mean,success_dtw_state_dtw_mean_min,success_dtw_state_dtw_mean_std,success_exceed_default_count,success_exceed_default_pct,success_length_max,success_length_mean,success_length_min,success_length_std,success_min_dtw_action_dtw_min_max,success_min_dtw_action_dtw_min_mean,success_min_dtw_action_dtw_min_min,success_min_dtw_action_dtw_min_std,success_min_dtw_state_dtw_min_max,success_min_dtw_state_dtw_min_mean,success_min_dtw_state_dtw_min_min,success_min_dtw_state_dtw_min_std,success_rate,success_wasserstein_action_w2_dist_max,success_wasserstein_action_w2_dist_mean,success_wasserstein_action_w2_dist_min,success_wasserstein_action_w2_dist_std,success_wasserstein_state_w2_dist_max,success_wasserstein_state_w2_dist_mean,success_wasserstein_state_w2_dist_min,success_wasserstein_state_w2_dist_std,total_non_success_episodes,total_success_episodes,wasserstein_action_w2_dist_agg_mean,wasserstein_action_w2_dist_agg_std,wasserstein_state_w2_dist_agg_mean,wasserstein_state_w2_dist_agg_std
RLPDMAQAgentseed1_sq9_k16,1,200,251.90192363339938,8.214003382859683,272.92139050127287,12.62122846976559,0.0,door-human-v1,100,,200.0,0.0,221.97861868150466,9.182706691254355,200.16002670484835,18.153701124279483,RLPD_MAQ/log/exp_seed1_sq9_k16/door-human-v1/RLPDMAQ/model_610000_1182.pth,289.77636878668943,269.99918543357944,250.22200208046948,19.777183353109976,343.379962077069,307.9007045676726,272.42144705827627,35.479257509396376,0,0.0,200,200.0,200,0.0,268.06346952606003,243.89766330516426,219.73185708426848,24.165806220895774,320.29928821420623,269.7768331982333,219.25437818226035,50.52245501597294,3.8235756385670396,3.735721547658199,3.6478674567493585,0.08785409090884055,5.247954048283693,5.188086025718144,5.128218003152595,0.059868022565548795,40.27725799512617,5.281257167142077,1126.4633187533188,155.11486111495896,263.04179258280254,251.53259175992628,228.14329279532515,7.351469125740862,294.20430843886885,272.2075269488974,239.90869934670164,10.553527141244357,0,0.0,200,200.0,200,0.0,235.63932299775297,221.53129124020546,195.0990131895829,8.007482994194364,236.95019157255507,198.73927555192213,161.00409053653487,13.53748903571748,0.98,3.821713271565839,3.6229680617307656,3.2598339529542995,0.13026329452108906,4.972742700894077,4.441566576191762,3.935321113263988,0.13132180146919706,2,98,3.6252231314493137,0.13050940134575303,4.456496965182289,0.16701826273742057
RLPDMAQAgentseed1_sq9_k16,1,200,251.90192363339938,8.214003382859683,272.92139050127287,12.62122846976559,0.0,door-human-v1,100,,200.0,0.0,221.97861868150466,9.182706691254355,200.16002670484835,18.153701124279483,RLPD_MAQ/log/exp_seed1_sq9_k16/door-human-v1/RLPDMAQ/model_610000_1182.pth,289.77636878668943,269.99918543357944,250.22200208046948,19.777183353109976,343.379962077069,307.9007045676726,272.42144705827627,35.479257509396376,0,0.0,200,200.0,200,0.0,268.06346952606003,243.89766330516426,219.73185708426848,24.165806220895774,320.29928821420623,269.7768331982333,219.25437818226035,50.52245501597294,3.8235756385670396,3.735721547658199,3.6478674567493585,0.08785409090884055,5.247954048283693,5.188086025718144,5.128218003152595,0.059868022565548795,40.27725799512617,5.281257167142077,1126.4633187533188,155.11486111495896,263.04179258280254,251.53259175992628,228.14329279532515,7.351469125740862,294.20430843886885,272.2075269488974,239.90869934670164,10.553527141244357,0,0.0,200,200.0,200,0.0,235.63932299775297,221.53129124020546,195.0990131895829,8.007482994194364,236.95019157255507,198.73927555192213,161.00409053653487,13.53748903571748,0.98,3.821713271565839,3.6229680617307656,3.2598339529542995,0.13026329452108906,4.972742700894077,4.441566576191762,3.935321113263988,0.13132180146919706,2,98,3.6252231314493137,0.13050940134575303,4.456496965182289,0.16701826273742057
RLPDMAQAgentseed1_sq1_k8,1,200,350.13250724984863,117.12046563659219,351.57879729879534,116.60924636599445,0.0,door-human-v1,100,,200.0,0.0,323.1212018385072,114.6258371945089,316.48815143591537,122.03045928950975,RLPD_MAQ/log/exp_seed1_sq1_k8/door-human-v1/RLPDMAQ/model_100000_218.pth,621.9831166315454,369.9990452359897,246.66069664414144,120.47406624374268,627.2828308109888,370.9973013734909,251.511825772395,121.35529395764542,0,0.0,200,200.0,200,0.0,600.8161500523164,344.07361438046917,195.9199441394413,116.48956568206424,597.8565971309816,339.7781409296458,189.94664899309043,123.78282459757752,5.991566060512999,4.251041973911345,3.511200831338783,0.6265183987399039,7.812561568896903,5.4695408319897565,4.466694831125014,0.9309489041636866,10.376303331392927,6.969139797739,248.24771911806369,204.68936043158163,489.74763572193,270.6663553052846,237.55557364901495,51.34616026888821,403.0971894121495,273.90478100001366,223.19219376992245,39.22481604877921,0,0.0,200,200.0,200,0.0,449.116305915733,239.31155167065972,192.98783130476232,51.342626393234134,372.27688961330665,223.3281934609933,142.81893211253134,48.16577725173136,0.2,4.594583999028471,3.792214288480456,3.45077550973766,0.3035573197828482,5.696868730037166,4.833821073988256,4.239569102387821,0.44216686257086046,80,20,4.159276436825167,0.6050895038201362,5.3423968803894555,0.8928030770086786
RLPDMAQAgentseed10_sq1_k8,10,200,437.51587390058484,171.86533675878312,426.2547072920932,179.04639637236426,0.0,door-human-v1,100,,200.0,0.0,398.13098088250763,157.6660625355401,382.08908857227635,156.08308905628755,RLPD_MAQ/log/exp_seed10_sq1_k8/door-human-v1/RLPDMAQ/model_710000_243.pth,757.8816165164967,465.7496827048409,245.2027882696459,170.97397024668717,728.0573844152942,455.95059095172996,228.51301514439567,177.49228345746982,0,0.0,200,200.0,200,0.0,663.5722620922807,426.69765309330285,202.59543685068508,153.2145166567134,632.1008648771019,408.7724050354588,191.56517936567306,153.35750674259629,6.989923592819969,4.504357600356907,3.1887518417588367,1.3059590878299725,8.342996682035835,5.7665916521736245,3.8929567322391048,1.4600255001066254,8.378346864508472,7.539763995885182,189.56609652966313,221.4490618517224,371.138172482908,277.52429067646756,250.387882514278,33.98416116783143,381.4157690171872,257.9780332208182,214.77884234327394,43.39765233080212,0,0.0,200,200.0,200,0.0,358.43567545545517,236.25317168800132,194.92774992341486,43.26600396015014,370.3562752791851,230.88362861424184,184.66572131422987,47.36534648678954,0.15,3.9966682563942557,3.3237562111550285,3.1012157376701333,0.24649919917773566,5.396340228582504,4.202529122941525,3.6783820798895537,0.5006736995863982,85,15,4.327267391976625,1.2792677790930904,5.53198227278881,1.470179102437132
RLPDMAQAgentseed100_sq1_k8,100,200,298.1580090161577,79.94039399084542,356.72712289551447,98.01488025635597,0.0,door-human-v1,100,,200.0,0.0,276.86001054809515,80.33990661571042,299.3132278050852,112.18537096916351,RLPD_MAQ/log/exp_seed100_sq1_k8/door-human-v1/RLPDMAQ/model_790000_354.pth,528.670559284,348.70605630778505,237.00702800549269,91.31724965399505,594.3560192820606,420.3534525187976,279.785055673656,109.82781337671805,0,0.0,200,200.0,200,0.0,524.4034481128517,326.745377853482,209.62665519387386,92.57600841508616,556.7215171372837,372.5195763146312,193.17428723562097,124.57970514834018,5.466868846569269,4.271970258753345,3.3639498309039726,0.6098686851371359,7.124836904089193,5.721296305298805,4.484870758677708,0.7675603620229374,9.358914651652873,6.65839804231732,218.36617789343723,195.56261982619358,268.0237255134743,251.49827305465553,234.7231047978618,7.501898595216426,329.5460773915629,297.99512632017627,270.4692524846583,12.417733473236618,0,0.0,200,200.0,200,0.0,251.03250101696716,230.81197918927666,211.99103012709622,9.159412628420075,288.4098073530504,231.73813687319665,190.13374455555416,19.063779260378862,0.52,3.9117573173216167,3.5851511497124315,3.36102298151192,0.1055535557446657,5.4664358447205315,4.887584686109381,4.4460314487732235,0.2203850618632812,48,52,3.91482432205207,0.5496054510842574,5.287766263320305,0.6939296734617858
RLPDMAQAgentseed1_sq1_k16,1,200,363.7141630793109,134.8508388166729,377.228143342642,139.9430958835049,0.0,door-human-v1,100,,200.0,0.0,329.71696294278337,132.1214836266288,326.37945193898844,158.77213932389367,RLPD_MAQ/log/exp_seed1_sq1_k16/door-human-v1/RLPDMAQ/model_750000_272.pth,542.1954054992995,417.21479672589123,226.089385402969,125.2520674932687,613.5627215384968,432.04639940933174,232.29600421297505,130.47083009164058,0,0.0,200,200.0,200,0.0,508.77556873100286,381.0440462012386,178.77828217002295,124.28458394768684,590.5441135086793,389.9134756775581,165.66441825367207,146.04528392184588,5.957392010757589,4.663172205801507,3.4955776351039654,0.7017828287932064,7.600412343696136,6.093025310859195,4.4855569360524905,0.9586945207764055,10.777106287998924,10.63515508326212,260.0196311800638,312.3632406957686,248.72492942822137,232.72985311699318,211.09825659122794,11.517311822072198,288.49610323725346,243.0179302138498,206.9873104486458,22.03661740982729,0,0.0,200,200.0,200,0.0,229.76480768461218,204.0541039307033,176.97577521689826,11.604304446278729,233.45744573603852,170.830635199732,117.70528839573053,25.065451676089403,0.29,4.155253113989841,3.7531924797333507,3.5075513356617414,0.1721909545636998,5.3091924503582595,4.628268628105957,4.084157713370128,0.31864525690328827,71,29,4.3992780852417415,0.7271664193387086,5.668245872860756,1.060077177493736
RLPDMAQAgentseed10_sq1_k16,10,200,351.35738280787206,65.34867990686767,331.5173932390879,97.56380582363599,0.0,door-human-v1,100,,200.0,0.0,313.65225712599846,76.21465005841387,297.9465521948072,79.55774972092838,RLPD_MAQ/log/exp_seed10_sq1_k16/door-human-v1/RLPDMAQ/model_530000_489.pth,531.1055560868283,351.35738280787206,276.4261624413353,65.34867990686767,620.4165896396968,331.5173932390879,240.46066376060602,97.56380582363599,0,0.0,200,200.0,200,0.0,511.2338803292674,313.65225712599846,230.22985671662218,76.21465005841387,548.3000646135341,297.9465521948072,212.5182778947985,79.55774972092838,4.465163561807577,3.8164568081076675,3.3420514469845055,0.3009653351494568,6.5011294920335505,4.687278703183112,3.9097594845978274,0.6404625267338449,12.597568851843194,7.577970045083086,313.48811203961156,222.57120489977456,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,100,0,3.8164568081076675,0.3009653351494568,4.687278703183112,0.6404625267338449
RLPDMAQAgentseed100_sq1_k16,100,200,260.11840861508415,62.93660644473525,302.93977205778555,59.61655871271099,0.0,door-human-v1,100,,200.0,0.0,250.3457751150522,62.94691650258768,234.77006222860598,76.2381065984735,RLPD_MAQ/log/exp_seed100_sq1_k16/door-human-v1/RLPDMAQ/model_860000_547.pth,482.3058955952271,316.76646105520945,235.11953883780504,94.54203820630245,544.3950054874146,362.14928437378313,281.50904310512345,84.7709218097606,0,0.0,200,200.0,200,0.0,459.7906049271273,307.5242683736549,225.4585464049828,92.80068289761648,520.7915306265429,311.62902912429246,211.10388496146538,105.80392817843304,5.3300342036864805,3.91759387825511,3.3398881581407625,0.5675432018064623,6.831520822295892,5.344442476359202,4.59229403231647,0.698112724724937,16.897918686313425,8.051546807564606,439.7929190597471,236.48054341800184,259.47185011342236,236.98047170292028,216.77316190505917,9.055403852712043,303.682165522854,278.7556050554766,268.48759923293755,7.337888869419992,0,0.0,200,200.0,200,0.0,252.14277055499898,226.99117927703142,197.3128065706097,13.503434100806858,247.0643237080961,203.3769630740298,179.19984155336692,14.680209722827406,0.71,3.6340793016924136,3.4038526407790854,3.2289087218161505,0.08928407962040963,4.969737481553548,4.505249443094568,4.281718248734168,0.14703398964889733,29,71,3.5528375996471317,0.3916804837637748,4.748615422741312,0.5492616130642621
RLPDMAQAgentseed1_sq3_k8,1,200,234.13038092779578,42.93660681833126,250.29528504569208,56.42107517521569,0.0,door-human-v1,100,,200.0,0.0,211.21245606810282,44.29801066965868,200.58130005791588,63.424538683808414,RLPD_MAQ/log/exp_seed1_sq3_k8/door-human-v1/RLPDMAQ/model_580000_710.pth,494.2926925386139,261.4572583393302,222.10482225294277,66.82634678705823,567.480164470006,288.6380010897041,221.4755356929461,85.2785286947454,0,0.0,200,200.0,200,0.0,484.50058589713757,237.28088791798908,188.62811965843787,68.40326684049116,542.8382385766738,248.06551285743177,184.13110097684972,92.05289780112415,5.300480559947655,3.7532464521253237,3.377666635783285,0.442839215688057,7.23468510381294,4.927995057809929,4.15162064837113,0.7171800405970862,22.463341052419487,8.443464320502448,603.2539454864882,247.99148270081108,259.9955570678239,221.27067391060314,206.35268437015029,9.632448828551027,289.77821465414166,232.2516539661571,206.56236296201482,15.544959227088427,0,0.0,200,200.0,200,0.0,231.29300080529958,198.94495872697985,178.43108682373898,14.614513246759879,229.9867356410875,178.23578815226125,138.41133419711363,19.1747976009237,0.68,3.758620207980557,3.4843154915695984,3.307428431533359,0.09621180659909556,5.153008936622223,4.290161452978773,3.8409402080614754,0.1972458744315556,32,68,3.570373398947431,0.29118093851149457,4.494268206524742,0.5287473146314655
RLPDMAQAgentseed10_sq3_k8,10,200,274.44524660981597,33.76440243356584,280.84330041860363,52.32776202817276,0.0,door-human-v1,100,,200.0,0.0,220.8038917339028,35.49371159961631,237.9355031650714,48.87667907716555,RLPD_MAQ/log/exp_seed10_sq3_k8/door-human-v1/RLPDMAQ/model_640000_1032.pth,511.71239859168935,348.89541940548,275.48082213737854,90.42346803745848,654.6862059299416,440.1167473403421,317.8158901367487,97.98838981461668,0,0.0,200,200.0,200,0.0,454.5634747196201,311.383487073435,233.4592104200589,88.24047445801209,559.6624462095813,387.7931890725527,280.7279500307459,85.15893874532,5.328652288377637,3.9083073743726864,3.611294673596611,0.5812641883660874,7.153486947085249,5.464389406200229,5.0335331588066605,0.6935419743669469,35.49865862771246,10.652736271990026,986.1119301081937,312.87961465019976,308.40231857447657,268.84147016283043,237.1817232344088,12.720506552897925,326.8985235619488,268.8549764567524,241.43002778019445,12.978571295291047,0,0.0,200,200.0,200,0.0,256.6928141249821,213.98607272985194,189.37046303340333,10.223396283067096,279.12021749933433,226.6558923978416,195.55021861789223,14.32909104719271,0.93,3.668745822945288,3.425098212489024,3.1472868930552846,0.11140317861113148,4.987358829973039,4.228320563872258,3.8835885181992253,0.17796020018415898,7,93,3.45892285382088,0.22448375358914585,4.314845382835216,0.4032208650061888
